reserve,round,date,lizard_num,count,lifestage
Hastings,5,6/6/21,12,4,nymphal
Hastings,5,6/6/21,13,0,larval
Hastings,5,6/6/21,13,2,nymphal
Hastings,5,6/6/21,14,1,larval
Hastings,5,6/6/21,14,2,nymphal
Hastings,5,6/6/21,15,0,larval
Hastings,5,6/6/21,15,4,nymphal
Big Creek,5,6/7/21,1,0,larval
Big Creek,5,6/7/21,1,1,nymphal
Big Creek,5,6/7/21,2,0,larval
Big Creek,5,6/7/21,2,0,nymphal
Big Creek,5,6/7/21,3,0,larval
Big Creek,5,6/7/21,3,0,nymphal
Big Creek,5,6/7/21,4,0,larval
Big Creek,5,6/7/21,4,0,nymphal
Big Creek,5,6/7/21,5,0,larval
Big Creek,5,6/7/21,5,0,nymphal
Big Creek,5,6/7/21,6,4,larval
Big Creek,5,6/7/21,6,2,nymphal
Big Creek,5,6/7/21,7,0,larval
Big Creek,5,6/7/21,7,2,nymphal
Big Creek,5,6/7/21,8,0,larval
Big Creek,5,6/7/21,8,0,nymphal
Big Creek,5,6/7/21,9,0,larval
Big Creek,5,6/7/21,9,0,nymphal
Big Creek,5,6/7/21,10,0,larval
Big Creek,5,6/7/21,10,0,nymphal
Big Creek,5,6/7/21,11,0,larval
Big Creek,5,6/7/21,11,1,nymphal
Big Creek,5,6/7/21,12,0,larval
Big Creek,5,6/7/21,12,0,nymphal
Big Creek,5,6/7/21,13,1,larval
Big Creek,5,6/7/21,13,0,nymphal
Big Creek,5,6/7/21,14,0,larval
Big Creek,5,6/7/21,14,0,nymphal
Big Creek,5,6/7/21,15,0,larval
Big Creek,5,6/7/21,15,0,nymphal
Rancho Marino,5,6/8/21,1,4,larval
Rancho Marino,5,6/8/21,1,2,nymphal
Rancho Marino,5,6/8/21,2,0,larval
Rancho Marino,5,6/8/21,2,3,nymphal
Rancho Marino,5,6/8/21,3,0,larval
Rancho Marino,5,6/8/21,3,2,nymphal
Rancho Marino,5,6/8/21,4,1,larval
Rancho Marino,5,6/8/21,4,5,nymphal
Rancho Marino,5,6/8/21,5,0,larval
Rancho Marino,5,6/8/21,5,3,nymphal
Rancho Marino,5,6/8/21,6,2,larval
Rancho Marino,5,6/8/21,6,6,nymphal
Rancho Marino,5,6/8/21,7,3,larval
